VIN,Year,Make,Model,Current price,Current price to market %,DOL,Mileage,Total VDPs (lifetime),Total sales opportunities (lifetime)
3CZRZ2H50TM705238,2026,HONDA,HR-V,"$30,895 ",100%,110,0,109,0
3TMKB5FN1SM42E567,2025,TOYOTA,TACOMA 2WD,"$39,584 ",97%,11,0,7,0
KM8R5DGE9PU605585,2023,HYUNDAI,PALISADE,"$33,527 ",89%,16,"23,709",58,0
1C4RJHBG5SC345409,2025,JEEP,GRAND CHEROKEE,"$47,713 ",99%,60,8,81,2
4T1DAACK7TU38C980,2026,TOYOTA,CAMRY,"$30,514 ",87%,43,0,37,0
JTNB4MBE1N3187196,2022,TOYOTA,COROLLA HATCHBACK,"$23,994 ",105%,17,"14,845",45,3
1C4PJXFG6SW550182,2025,JEEP,WRANGLER,"$57,995 ",97%,211,11,313,4
1GCUDEE80PZ217880,2023,CHEVROLET,SILVERADO 1500,"$46,998 ",101%,81,"28,133",45,2
JTDS4MCE3N3513437,2022,TOYOTA,COROLLA,"$21,990 ",95%,4,"11,557",10,0
5TFVC5DB0SX108411,2025,TOYOTA,TUNDRA 4WD,"$78,369 ",99%,136,8,136,0
2C4RC1BG5SR598559,2025,CHRYSLER,PACIFICA,"$43,962 ",104%,111,9,182,4
5TFVC5DB1SX109812,2025,TOYOTA,TUNDRA 4WD,"$78,369 ",99%,136,8,115,0
1C4PJXFN7SW539528,2025,JEEP,WRANGLER,"$56,500 ",98%,231,15,706,10
7YAKPDDC4SY032706,2025,HYUNDAI,IONIQ 5,"$56,868 ",104%,95,7,63,0
1GC4YUEY4RF317628,2024,CHEVROLET,SILVERADO 3500HD,"$68,393 ",101%,70,"34,217",24,7
JTDBCMFE6T3113769,2026,TOYOTA,COROLLA,"$26,079 ",95%,26,0,10,0
1FTEW1EP0MFC38837,2021,FORD,F-150,"$31,761 ",91%,30,"56,005",33,0
KM8HFCAB1TU350524,2026,HYUNDAI,KONA,"$28,805 ",96%,50,9,39,0
4T1DAACK7TU41G366,2026,TOYOTA,CAMRY,"$34,414 ",98%,11,0,10,0
5XYK7CDF1SG282067,2025,KIA,SPORTAGE,"$36,890 ",100%,303,8,327,2
JTDBCMFE0T3112973,2026,TOYOTA,COROLLA,"$26,079 ",95%,26,0,13,0
5XYP5DGC6SG625944,2025,KIA,TELLURIDE,"$47,988 ",98%,38,"2,951",184,3
7FARS6H82TE017472,2026,HONDA,CR-V HYBRID,"$41,620 ",101%,43,5,37,0
1GNSKRKL5PR471654,2023,CHEVROLET,TAHOE,"$62,998 ",100%,88,"26,971",115,8
3KPFW4DE1SE199477,2025,KIA,K4,"$29,055 ",108%,20,8,5,0
1C4RJHDG1N8545076,2022,JEEP,GRAND CHEROKEE,"$27,500 ",78%,87,"47,103",81,0
2C4RC1BG6TR152535,2026,CHRYSLER,PACIFICA,"$43,224 ",97%,61,9,142,1
JTMRWRFV0SD340323,2025,TOYOTA,RAV4,"$37,154 ",97%,26,0,11,0
5FNYG1H61SB155190,2025,HONDA,PILOT,"$51,305 ",102%,32,5,72,0
4T1DAACK0TU212567,2026,TOYOTA,CAMRY,"$32,174 ",92%,43,8,6,0
KMHM34AC0RA078371,2024,HYUNDAI,IONIQ 6,"$30,994 ",98%,34,"3,195",26,0
JTDACACUXT3055610,2026,TOYOTA,PRIUS PLUG-IN HYBRID,"$37,698 ",95%,75,8,69,2
JTDKAMFP5N3225604,2022,TOYOTA,PRIUS PRIME,"$25,888 ",102%,19,"35,057",47,5
JTMRWRFV0SJ078207,2025,TOYOTA,RAV4,"$35,044 ",93%,43,25,6,0
JTDAAAAA2SA012095,2025,TOYOTA,MIRAI,"$52,410 ",98%,75,8,64,1
5TDKBRCH1SS40B036,2025,TOYOTA,HIGHLANDER,"$51,428 ",100%,26,0,17,0
7SVAAABA3TX075144,2026,TOYOTA,SEQUOIA,"$84,973 ",102%,43,0,8,0
JTJGB7CXXS4082967,2025,LEXUS,LX,"$120,399 ",102%,27,6,113,2
2T3W1RFV3SC345182,2025,TOYOTA,RAV4,"$33,282 ",96%,61,8,35,0
